583	933	360
584	934	397
585	934	438
587	934	483
589	935	531
591	935	581
593	936	632
596	936	685
599	937	738
602	938	793
605	939	848
609	940	903
613	941	959
614	995	301
614	995	309
614	995	324
615	995	346
615	995	376
616	996	411
617	996	451
619	996	494
620	997	541
622	997	590
624	998	640
627	998	692
629	999	745
632	1000	799
636	1001	853
639	1001	908
643	1002	963
335	61	23
335	61	70
336	63	121
337	65	176
338	68	233
340	72	290
342	77	347
345	83	405
349	89	463
352	96	521
357	104	580
362	112	638
367	120	696
373	129	754
380	138	812
386	148	871
394	157	929
337	99	27
338	100	73
338	101	123
339	102	177
341	104	234
343	107	291
345	111	348
348	115	406
351	120	464
355	125	522
359	131	580
364	138	638
369	145	696
375	152	754
382	160	813
389	168	871
396	177	929
342	147	36
342	147	78
343	148	126
344	149	180
345	150	235
347	152	292
349	155	349
352	158	407
355	161	465
359	165	522
363	170	580
368	175	639
373	181	697
379	187	755
385	193	813
392	200	871
399	207	930
349	201	49
349	201	87
350	202	132
350	203	184
352	204	238
354	205	294
356	207	351
358	209	408
362	212	466
365	215	524
370	219	581
374	222	639
379	227	697
385	231	756
391	236	814
398	242	872
405	248	930
358	259	65
359	259	97
359	260	139
360	260	189
361	261	242
363	262	297
365	263	354
368	265	410
371	267	468
375	270	525
379	272	583
383	275	641
388	279	699
394	282	757
400	286	815
406	291	873
413	295	931
371	318	82
371	319	110
372	319	149
372	319	196
374	320	248
375	321	302
377	322	357
380	323	413
383	325	470
386	327	527
390	329	585
395	331	642
400	334	700
405	337	758
411	340	816
417	344	874
424	348	932
386	379	100
386	379	125
387	379	160
387	380	204
389	380	254
390	381	307
392	382	361
395	383	417
397	384	473
401	386	530
404	387	587
409	389	644
413	392	702
419	394	760
424	397	817
430	400	875
437	403	933
403	440	119
404	440	141
404	440	173
405	440	214
406	441	262
408	441	313
409	442	367
412	443	421
414	444	477
418	445	533
421	447	590
425	449	647
430	451	704
435	453	762
440	455	819
446	457	877
452	460	935
423	501	139
424	501	158
424	501	187
425	502	226
426	502	271
427	502	321
429	503	373
431	504	426
434	505	481
437	506	537
440	507	593
444	509	650
448	510	707
453	512	764
458	514	821
463	516	879
469	518	937
445	563	159
445	563	175
446	563	202
447	563	238
448	563	281
449	564	329
451	564	380
453	565	432
455	566	487
458	567	542
461	568	597
465	569	653
469	570	710
473	572	767
478	574	824
483	576	881
489	578	939
469	624	179
469	624	194
470	624	218
470	625	251
471	625	292
472	625	338
474	626	388
476	626	439
478	627	492
481	628	547
484	629	602
487	630	657
491	631	714
495	633	770
500	634	827
504	636	884
510	637	941
494	686	199
494	686	212
495	686	234
495	686	266
496	687	304
497	687	349
499	687	396
501	688	447
503	689	499
505	689	552
508	690	607
511	691	662
515	692	718
519	693	774
523	695	830
528	696	887
533	698	944
521	748	220
521	748	232
521	748	252
522	748	281
523	748	317
524	749	360
525	749	406
527	750	455
529	750	506
531	751	559
534	752	612
537	752	667
540	753	722
544	754	778
548	756	834
552	757	891
557	758	947
548	810	240
549	810	251
549	810	269
550	810	297
550	810	331
551	811	372
553	811	416
554	811	464
556	812	514
558	812	566
561	813	619
563	814	673
567	815	727
570	816	783
574	817	838
578	818	894
583	819	951
577	872	261
577	872	271
578	872	288
578	872	313
579	872	346
580	872	384
581	873	427
583	873	474
584	874	523
586	874	573
589	875	625
591	875	679
594	876	733
598	877	788
601	878	843
605	879	899
609	880	955
607	934	281
607	934	290
607	934	306
608	934	330
608	934	361
609	934	398
610	935	439
612	935	484
613	935	532
